Epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.048192769289016724,3.8886911869049072,0.12061939388513565,3.386779546737671,9.999999747378752e-06
1,0.12228915840387344,3.413161277770996,0.3439282774925232,2.84871244430542,9.999999747378752e-06
2,0.24799196422100067,3.0021812915802,0.5207824110984802,2.3292922973632812,9.999999747378752e-06
3,0.36004015803337097,2.6139209270477295,0.6356968283653259,1.8486542701721191,9.999999747378752e-06
4,0.45522087812423706,2.268859386444092,0.7343113422393799,1.4888360500335693,9.999999747378752e-06
5,0.5206827521324158,1.9800010919570923,0.7497962713241577,1.237217664718628,9.999999747378752e-06
6,0.573293149471283,1.7525134086608887,0.8011410236358643,1.0075832605361938,9.999999747378752e-06
7,0.6090361475944519,1.5936553478240967,0.8264058828353882,0.8479937314987183,9.999999747378752e-06
8,0.6289156675338745,1.4583096504211426,0.8443357944488525,0.7426211833953857,9.999999747378752e-06
9,0.6578313112258911,1.3462731838226318,0.8451507687568665,0.6589983701705933,9.999999747378752e-06
10,0.6785140633583069,1.2773356437683105,0.8590056896209717,0.5862619876861572,9.999999747378752e-06
11,0.6981927752494812,1.189307451248169,0.8679706454277039,0.5237810015678406,9.999999747378752e-06
12,0.7154618501663208,1.123236894607544,0.8842706084251404,0.4828484356403351,9.999999747378752e-06
13,0.7176706790924072,1.0950732231140137,0.8850855827331543,0.44904160499572754,9.999999747378752e-06
14,0.7301204800605774,1.0360381603240967,0.8842706084251404,0.42962512373924255,9.999999747378752e-06
15,0.7393574118614197,0.9853137135505676,0.8940505385398865,0.3888903260231018,9.999999747378752e-06
16,0.7477911710739136,0.9515219330787659,0.8973104953765869,0.38080790638923645,9.999999747378752e-06
17,0.755220890045166,0.936272144317627,0.8981255292892456,0.37182220816612244,9.999999747378752e-06
18,0.7648594379425049,0.879204511642456,0.9005705118179321,0.3547038435935974,9.999999747378752e-06
19,0.7706827521324158,0.860396146774292,0.90220046043396,0.32446882128715515,9.999999747378752e-06
